Process_1_Param_1,Process_1_Param_2,Process_1_Param_3,Process_1_Param_4,Process_1_Param_5,Process_1_Param_6,Process_1_Param_7,Process_1_Param_8,Process_1_Param_9,Process_1_Param_10,Process_2_Param_1,Process_2_Param_2,Process_2_Param_3,Process_2_Param_4,Process_2_Param_5,Process_2_Param_6,Process_2_Param_7,Process_2_Param_8,Process_2_Param_9,Process_2_Param_10,Process_3_Param_1,Process_3_Param_2,Process_3_Param_3,Process_3_Param_4,Process_3_Param_5,Process_3_Param_6,Process_3_Param_7,Process_3_Param_8,Process_3_Param_9,Process_3_Param_10,Process_4_Param_1,Process_4_Param_2,Process_4_Param_3,Process_4_Param_4,Process_4_Param_5,Process_4_Param_6,Process_4_Param_7,Process_4_Param_8,Process_4_Param_9,Process_4_Param_10,Process_5_Param_1,Process_5_Param_2,Process_5_Param_3,Process_5_Param_4,Process_5_Param_5,Process_5_Param_6,Process_5_Param_7,Process_5_Param_8,Process_5_Param_9,Process_5_Param_10,Machine_Routing,yield_score
54.96714153011233,63.99355436586002,43.24821725025618,30.92192442122609,41.36506395035066,45.76240317977297,38.85918641766912,57.85185082310376,49.669747362804394,57.65402156013349,43.21505269512778,38.21820312665723,61.74814057585692,50.11736369721936,47.75759044451814,48.56576783541071,58.79307292708977,46.60178831691703,53.2183519002277,52.651070945122434,53.48286247666818,75.11132547690008,36.42367555051093,71.98837038261284,43.28626480540115,51.70873528746982,48.58656794525295,42.16239830629831,67.655926938255,55.94798196261071,30.194280324395933,36.8051695985991,57.320142722401904,44.80654926840416,71.70254862976324,59.14097783411165,55.665957344899965,38.070632703129554,53.998588843708745,53.73980557322192,45.281424516985986,44.28208401827504,45.37628351219781,42.772938642972456,56.12560683774101,60.49782472376255,55.12030256578305,39.438415321382095,56.07570942526244,74.14247891604123,Machine_C,88.44731697816714
48.61735698828815,59.246336829127685,48.55481329284482,41.39614989220498,49.68796511060916,45.46585891616146,43.6906916626221,32.22319037629799,44.96349739624404,60.73412702410445,46.94500536946347,54.32850402519974,31.21019055246173,55.27438651859997,47.8916528134542,49.6734409625969,50.39309198743465,51.821348710111764,42.18642304383054,45.39476578838686,52.83323592535667,49.80068438342755,48.732107483340585,53.43355348386303,42.86200533861302,50.122554306315415,38.17479977772368,61.64034397248306,56.80550537819082,55.53489663557822,39.45014353063128,59.15962808602107,33.88434377662489,57.03201054684369,48.19025735501849,66.24487186934925,48.39418096730575,54.105197247070706,60.59244833995519,51.64598049646897,60.127024710156,52.687475485672095,58.6804200015004,37.812133768760965,63.91971656845203,42.19467241817106,51.41572135432568,57.63766464006733,42.71152764047789,43.63437457584971,Machine_A,90.78000113864084
56.47688538100692,50.59630369920174,42.075800790000386,45.863944665783556,50.18016872044446,32.04356827369985,40.579398164257555,57.147456498889454,48.27625042546338,54.98689912135544,44.02618938954857,61.10753172414642,46.722049441225366,33.88997232114832,72.3542743475696,50.64294878587582,40.87674485933642,63.59771893328313,56.91356381080525,46.61813283017531,40.63480154194509,46.87432941978673,61.53768539088567,47.66410267722001,64.25405932372932,45.688449335826355,48.80294266959301,57.828775531887715,56.74299246037104,83.54573389166377,44.12971593707414,39.37288239356565,43.23654007525823,46.23084983515434,35.51582525224488,53.45517271282863,54.047481429082985,49.67031081258378,40.648234039714765,50.879058073787874,48.018131526976816,46.629985456397925,47.53499377170214,43.63239165177932,53.41971155126446,61.994036428753176,51.70812854267491,57.411098759063705,47.30547751868926,55.438586904362104,Machine_B,73.65902374205996
65.23029856408026,43.53063222294426,46.9203847036096,68.8768765734019,54.72630345843406,46.69909808298563,44.52004181258862,47.66275942148275,57.147317275176995,30.575023090382302,51.1041804694612,57.55184973803944,49.58339976618665,40.80101829553846,58.093109039313006,59.4686146164618,45.37500846800031,49.55291243240415,44.09638308194669,44.23974829523332,55.795842217637386,44.77640074145885,50.68651457074284,59.76982807661957,68.64413663859997,49.97473339152213,51.479956095400276,49.787271503689055,41.02573325051315,39.22869179768114,51.496689109246915,60.14508030327775,36.31952040782286,46.726500396774036,44.96106309568482,47.448790399900815,53.519090666287084,45.29417295291073,59.05623184946641,36.75812981077115,50.905692647176394,53.61825819714996,50.241731820083984,56.575594093712034,49.794687841907944,49.388742743996204,46.609563359197715,59.84677519520216,47.80153630155512,59.26744183502547,Machine_C,87.30311359769225
47.658466252766644,56.982233136135896,31.063853330462145,55.56553124533758,36.331416367191736,57.328290818217454,47.85849689288811,57.07457710864381,62.77856655030514,48.445775674722405,61.971785314619126,60.84477524857287,50.15908658399631,48.51821466501771,74.80650917512143,42.527826915132565,53.42853465781648,41.138873486523494,57.495550374451284,69.17259534504072,35.09917324423382,53.76367037199109,59.390889436311305,58.42068860377901,40.71117541589834,54.908416254929435,55.188345452809905,51.443373372497035,67.69062053152861,43.740152064965635,60.241623266068785,50.10192915306326,51.89301060847597,43.56511546351187,58.47059921381657,39.33275182326578,44.90979374365744,60.5629850798837,31.374113467707364,39.73574846672747,57.17390606637717,55.473925660068545,49.21578621549875,45.659548324251496,57.25521465998823,58.56153188742309,49.39451478127402,58.37939962946776,49.84559090506294,51.011828848873364,Machine_B,72.93520145386385
47.6586304305082,53.934853854217494,52.13293707372939,36.64518430900109,55.92567273847331,37.25767880923205,58.371544863313844,57.76931692354829,55.70487330863573,38.44292425083085,42.28957842858795,47.88110468801757,51.80496056078081,41.13334965315625,45.030368670794985,41.536530084873405,68.18464378381593,33.803101344833735,47.25888524619278,64.63900786174322,43.45815674239671,53.8658258917093,44.07885878664997,24.811690450818155,43.31005567560296,48.738378710211606,50.7715802563167,49.916019826656566,63.76718094602289,58.15922285832554,56.94135943371764,44.412426035529094,36.76655667875774,41.71059259197152,42.27354809869692,48.87484843986707,46.44620123452728,44.077193039642424,50.43126762113686,57.48280436094416,49.4103659315106,42.36824336830517,41.07800648705492,51.669208827713376,54.775796714015684,42.32688034312673,38.92538671883532,60.871455443778146,51.46043321368946,63.858280724602054,Machine_B,75.54986615307833
65.79212815507391,58.95193220027733,50.012054753622245,54.86036289417637,22.95608368397225,60.484826510505926,46.78840961294298,66.07915061119158,51.0172320847177,47.973942270819265,60.008204977684144,45.33381031824354,56.104398198094934,41.844082287808504,49.150334031118526,62.36619742142975,45.159803768037214,55.130478674102505,32.78952874370337,55.55294190013616,30.00912187102192,59.50627873126513,41.900831432108184,49.97264443908887,61.42522819504145,54.19767630230274,41.19050590002445,54.870092591735386,41.564099771044326,47.997361407981366,38.20675201552515,66.00401755448124,30.189528229267786,53.5417735389621,35.17872400545019,52.03126327650555,56.00127172351218,54.21562902503388,44.54078067696985,55.591514336782375,31.82152141670141,48.16273947851598,48.28729272702877,61.17118054359772,58.85291121668075,30.331549117991738,49.95233961307011,54.06316384149591,36.954022322365645,69.95213200985354,Machine_A,92.8608589244979
57.67434729152909,56.351718016819696,41.82911368931809,34.52696011061634,43.70115447636189,54.87774821084338,34.14374293230407,63.53453647621203,64.98011770304427,59.80004236133894,42.183279276531124,42.63098647768201,49.64592560954649,46.50137336923562,36.67874234723352,45.37355258118702,58.04787443527399,52.47288125627739,40.17583759519063,63.25308997267739,65.58626516962815,40.73937835650987,58.48873830285048,46.05400533260886,55.335199931423965,41.63331221576953,70.12030027571846,42.00498341544306,45.25236758185123,45.369490432682504,46.28287737834348,49.311450071817674,47.62522663456426,54.83706294644625,42.4818231371193,35.369279272268045,68.12087808641401,61.74644367950788,35.95458616004963,53.821199257786496,60.405875045535474,48.45883044221529,45.42182742428505,55.9980412650586,48.68063669226829,33.511901216034886,45.08898481323066,68.02940984264058,53.12358492548875,38.90388346077493,Machine_B,75.18300615689729
45.30525614065048,60.49552715319335,56.59245668432405,60.826910538870735,45.117261575484555,42.657666780289624,61.4006784649516,63.46571662610296,46.87163526948478,53.05150835874973,41.523727875031156,49.44103533386404,46.31941717856319,56.495813316461735,41.90433197910428,37.369646464229334,46.719435493232396,43.54091826737704,45.695852913127155,57.98461338977883,47.684505060547046,46.87505121858739,53.6926553465619,53.96705691513917,56.764281053209224,43.961063488542955,58.291267716215984,58.62504733368643,62.54656044926688,59.575114883231656,50.76375588702567,46.38187706744021,27.90920947512554,52.27148437551283,44.666340822506854,59.21472928506789,62.0681858130932,46.60869139851815,41.064778750066594,44.134873371554136,62.54928829915052,59.58272582314827,43.081928059271796,37.23720138154639,59.09250314164902,75.02902335229489,38.752007986259514,52.936505810635495,46.558665988711994,51.16146071224412,Machine_B,80.32577732111193
55.42560043585965,44.64764788439432,59.37570137626558,45.28875348182122,56.33326826071239,48.584703626621526,41.629098663849604,64.43670319166239,60.30919338366907,61.480908663974326,58.18594618343214,49.214092040311805,45.92410655340304,46.57282223121855,69.01913148662501,45.1487005790013,51.10468755886136,60.26014125707297,63.681890237485774,51.812711595140556,71.66884034816312,70.30545723224202,38.14403992225541,48.063417197062094,58.96601294853057,42.65679496726025,55.52719744649867,53.535658378908124,67.96147378316758,47.33431563696279,47.37792875553501,59.091179275980096,52.587381947209565,43.83816394446559,39.17330452035344,45.76086003691341,38.708839438826,31.709012652707756,43.593442737206665,57.65189928764647,31.688839083995568,45.3483713279458,39.41691020785912,54.47959882347487,58.57616465476262,44.02059701987983,57.5471923928546,69.99263817785064,60.84442988462754,59.15676856110487,Machine_B,72.31297497520673
